epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.669,1.24051,3.79117,1.50851,0.00565,0.98095,0.13852,0.10939,0.71829,3.93098,1.22546,0.00017,0.00017,0.00017
2,364.059,0.89876,3.30874,1.29243,0.00612,0.96508,0.18004,0.13145,0.62127,3.73813,0.97767,0.00033845,0.00033845,0.00033845
3,537.239,0.8119,3.04388,1.1924,0.08732,0.14676,0.19538,0.15623,0.59944,3.22979,1.01004,0.00049502,0.00049502,0.00049502
4,699.621,0.86029,2.87374,1.21108,0.14728,0.21254,0.12747,0.09941,1.40431,3.81613,1.69082,0.00063971,0.00063971,0.00063971
5,877.979,0.7297,2.69935,1.13579,0.08142,0.29474,0.10821,0.08211,0.80359,3.72088,1.20622,0.00077252,0.00077252,0.00077252
6,1037.75,0.75684,2.5992,1.13838,0.22753,0.5301,0.27602,0.22994,0.59862,3.41708,1.09754,0.000835,0.000835,0.000835
7,1236.44,0.72464,2.45132,1.12873,0.341,0.29214,0.39502,0.31706,1.02233,3.22412,1.68613,0.000802,0.000802,0.000802
8,1415.38,0.68387,2.3816,1.10002,0.3039,0.43401,0.38772,0.31673,0.6456,3.0115,1.14873,0.000769,0.000769,0.000769
9,1596.77,0.77299,2.33534,1.14247,0.53522,0.46902,0.47409,0.38738,0.74116,2.95409,1.22875,0.000736,0.000736,0.000736
10,1777.44,0.67235,2.18476,1.0841,0.59286,0.57851,0.6457,0.50311,0.66732,2.41414,1.24482,0.000703,0.000703,0.000703
11,2213.02,0.66024,2.17677,1.09681,0.50255,0.68527,0.59076,0.50584,0.52745,2.15946,1.04357,0.00067,0.00067,0.00067
12,2466.98,0.75111,2.21603,1.21136,0.57587,0.56565,0.67854,0.59636,0.46569,1.94895,0.94545,0.000637,0.000637,0.000637
13,2949.62,0.59568,1.89811,1.03561,0.67053,0.62821,0.79086,0.681,0.49092,2.04556,0.9642,0.000604,0.000604,0.000604
14,3137.28,0.59532,1.90383,1.04549,0.57316,0.79276,0.72616,0.63298,0.50296,2.11505,0.99143,0.000571,0.000571,0.000571
15,3346.52,0.6435,1.93994,1.09756,0.57497,0.79338,0.74188,0.6365,0.52427,2.10279,1.01462,0.000538,0.000538,0.000538
16,3520.07,0.62218,1.8587,1.07696,0.48238,0.83891,0.68552,0.60416,0.54896,1.86483,1.04447,0.000505,0.000505,0.000505
17,3688.38,0.57709,1.69871,1.01729,0.71235,0.73254,0.73116,0.65004,0.44348,1.68915,0.92975,0.000472,0.000472,0.000472
18,4205.25,0.5725,1.74651,1.0231,0.59175,0.82233,0.77195,0.68182,0.4742,1.64097,0.95054,0.000439,0.000439,0.000439
19,4365.08,0.53543,1.6256,1.00635,0.47036,0.85278,0.70171,0.62436,0.45464,1.72152,0.9295,0.000406,0.000406,0.000406
20,4548.97,0.52692,1.65459,1.02682,0.69655,0.69623,0.7275,0.65623,0.43583,1.61752,0.92041,0.000373,0.000373,0.000373
21,4740.36,0.45671,1.59435,0.97918,0.59064,0.86855,0.78383,0.69225,0.42132,1.68991,0.89907,0.00034,0.00034,0.00034
22,4929.25,0.42811,1.57755,0.9832,0.67373,0.91203,0.7681,0.69313,0.41004,1.55792,0.88148,0.000307,0.000307,0.000307
23,5117.23,0.40548,1.45452,0.93178,0.75672,0.90063,0.81154,0.72766,0.41163,1.44353,0.8923,0.000274,0.000274,0.000274
24,5305.02,0.43508,1.34597,0.97056,0.56823,0.97536,0.79019,0.70633,0.40751,1.43325,0.89236,0.000241,0.000241,0.000241
25,5493.75,0.39337,1.31505,0.93374,0.70997,0.97368,0.8065,0.72687,0.398,1.2777,0.87534,0.000208,0.000208,0.000208
26,5708.42,0.37721,1.22982,0.92681,0.82098,0.90049,0.85346,0.77723,0.36313,1.22402,0.85021,0.000175,0.000175,0.000175
27,5936.62,0.3742,1.20325,0.91719,0.82139,0.94466,0.8674,0.78685,0.35117,1.12625,0.83839,0.000142,0.000142,0.000142
28,6138.6,0.40854,1.25881,0.9613,0.77519,0.94726,0.83481,0.7653,0.34346,1.13512,0.83215,0.000109,0.000109,0.000109
29,6320.05,0.3613,1.17338,0.92443,0.71434,0.92397,0.81861,0.75269,0.3394,1.14448,0.82987,7.6e-05,7.6e-05,7.6e-05
30,6498.42,0.34717,1.11602,0.90117,0.69208,0.94534,0.8177,0.7551,0.33691,1.12753,0.82694,4.3e-05,4.3e-05,4.3e-05
